operation_id,batch_id,batch_index,batches_in_order,order_id,product_id,product_family,demand_type,stage_index,stage_name,work_center_id,machine_id,quantity,order_quantity,input_quantity,start_minute,end_minute,start_time,end_time,duration_minutes,run_minutes,setup_minutes,nominal_yield,priority,due_date,source,batching_policy
C003-B02_03_LACK,C003-B02,2,2,C003,SHADE_EK,OAK_SHADE,PRIORITY_CUSTOMER_ORDER,3,Lack,LACK,LACK,186,372,203,1787,1840,2026-05-26 11:47:00,2026-05-26 12:40:00,53,33,20,0.92,10,2026-05-29 08:00:00,customer,split_by_max_batch_size
C013-B01_03_LACK,C013-B01,1,2,C013,SPORT_OAK,SPORT_OAK,CUSTOMER_ORDER,3,Lack,LACK,LACK,278,556,309,1912,1994,2026-05-26 13:52:00,2026-05-26 15:14:00,82,59,23,0.9,5,2026-05-26 14:00:00,customer,split_by_max_batch_size
C013-B02_03_LACK,C013-B02,2,2,C013,SPORT_OAK,SPORT_OAK,CUSTOMER_ORDER,3,Lack,LACK,LACK,278,556,309,2037,2119,2026-05-26 15:57:00,2026-05-26 17:19:00,82,59,23,0.9,5,2026-05-26 14:00:00,customer,split_by_max_batch_size
C001-B01_03_LACK,C001-B01,1,2,C001,SPORT_OAK,SPORT_OAK,CUSTOMER_ORDER,3,Lack,LACK,LACK,217,434,242,2142,2212,2026-05-26 17:42:00,2026-05-26 18:52:00,70,47,23,0.9,3,2026-05-26 14:00:00,customer,split_by_max_batch_size
C001-B02_03_LACK,C001-B02,2,2,C001,SPORT_OAK,SPORT_OAK,CUSTOMER_ORDER,3,Lack,LACK,LACK,217,434,242,2247,2317,2026-05-26 19:27:00,2026-05-26 20:37:00,70,47,23,0.9,3,2026-05-26 14:00:00,customer,split_by_max_batch_size
C014-B01_03_LACK,C014-B01,1,2,C014,PURE_EK,OAK_PURE,CUSTOMER_ORDER,3,Lack,LACK,LACK,338,675,360,2880,2951,2026-05-27 06:00:00,2026-05-27 07:11:00,71,53,18,0.94,5,2026-05-26 18:00:00,customer,split_by_max_batch_size
C014-B02_03_LACK,C014-B02,2,2,C014,PURE_EK,OAK_PURE,CUSTOMER_ORDER,3,Lack,LACK,LACK,337,675,359,2988,3059,2026-05-27 07:48:00,2026-05-27 08:59:00,71,53,18,0.94,5,2026-05-26 18:00:00,customer,split_by_max_batch_size
C004-B01_03_LACK,C004-B01,1,3,C004,PURE_EK,OAK_PURE,CUSTOMER_ORDER,3,Lack,LACK,LACK,309,925,329,3089,3156,2026-05-27 09:29:00,2026-05-27 10:36:00,67,49,18,0.94,6,2026-05-26 22:00:00,customer,split_by_max_batch_size
C004-B02_03_LACK,C004-B02,2,3,C004,PURE_EK,OAK_PURE,CUSTOMER_ORDER,3,Lack,LACK,LACK,308,925,328,3190,3256,2026-05-27 11:10:00,2026-05-27 12:16:00,66,48,18,0.94,6,2026-05-26 22:00:00,customer,split_by_max_batch_size
C004-B03_03_LACK,C004-B03,3,3,C004,PURE_EK,OAK_PURE,CUSTOMER_ORDER,3,Lack,LACK,LACK,308,925,328,3291,3357,2026-05-27 12:51:00,2026-05-27 13:57:00,66,48,18,0.94,6,2026-05-26 22:00:00,customer,split_by_max_batch_size
C009-B01_03_LACK,C009-B01,1,2,C009,SPORT_OAK,SPORT_OAK,CUSTOMER_ORDER,3,Lack,LACK,LACK,232,464,258,3401,3474,2026-05-27 14:41:00,2026-05-27 15:54:00,73,50,23,0.9,5,2026-05-26 22:00:00,customer,split_by_max_batch_size
C009-B02_03_LACK,C009-B02,2,2,C009,SPORT_OAK,SPORT_OAK,CUSTOMER_ORDER,3,Lack,LACK,LACK,232,464,258,3511,3584,2026-05-27 16:31:00,2026-05-27 17:44:00,73,50,23,0.9,5,2026-05-26 22:00:00,customer,split_by_max_batch_size
C006-B01_03_LACK,C006-B01,1,3,C006,PURE_EK,OAK_PURE,CUSTOMER_ORDER,3,Lack,LACK,LACK,288,864,307,3607,3670,2026-05-27 18:07:00,2026-05-27 19:10:00,63,45,18,0.94,4,2026-05-27 14:00:00,customer,split_by_max_batch_size
C006-B02_03_LACK,C006-B02,2,3,C006,PURE_EK,OAK_PURE,CUSTOMER_ORDER,3,Lack,LACK,LACK,288,864,307,3703,3766,2026-05-27 19:43:00,2026-05-27 20:46:00,63,45,18,0.94,4,2026-05-27 14:00:00,customer,split_by_max_batch_size
C006-B03_03_LACK,C006-B03,3,3,C006,PURE_EK,OAK_PURE,CUSTOMER_ORDER,3,Lack,LACK,LACK,288,864,307,4320,4383,2026-05-28 06:00:00,2026-05-28 07:03:00,63,45,18,0.94,4,2026-05-27 14:00:00,customer,split_by_max_batch_size
C005-B01_03_LACK,C005-B01,1,1,C005,PURE_EK,OAK_PURE,CUSTOMER_ORDER,3,Lack,LACK,LACK,327,327,348,4426,4495,2026-05-28 07:46:00,2026-05-28 08:55:00,69,51,18,0.94,6,2026-05-27 18:00:00,customer,split_by_max_batch_size
C008-B01_03_LACK,C008-B01,1,3,C008,SHADE_EK,OAK_SHADE,CUSTOMER_ORDER,3,Lack,LACK,LACK,275,824,299,4530,4599,2026-05-28 09:30:00,2026-05-28 10:39:00,69,49,20,0.92,6,2026-05-28 18:00:00,customer,split_by_max_batch_size
C008-B02_03_LACK,C008-B02,2,3,C008,SHADE_EK,OAK_SHADE,CUSTOMER_ORDER,3,Lack,LACK,LACK,275,824,299,4634,4703,2026-05-28 11:14:00,2026-05-28 12:23:00,69,49,20,0.92,6,2026-05-28 18:00:00,customer,split_by_max_batch_size
C008-B03_03_LACK,C008-B03,3,3,C008,SHADE_EK,OAK_SHADE,CUSTOMER_ORDER,3,Lack,LACK,LACK,274,824,298,4738,4806,2026-05-28 12:58:00,2026-05-28 14:06:00,68,48,20,0.92,6,2026-05-28 18:00:00,customer,split_by_max_batch_size
C011-B01_03_LACK,C011-B01,1,2,C011,PURE_EK,OAK_PURE,CUSTOMER_ORDER,3,Lack,LACK,LACK,218,435,232,4817,4869,2026-05-28 14:17:00,2026-05-28 15:09:00,52,34,18,0.94,3,2026-05-29 14:00:00,customer,split_by_max_batch_size
C011-B02_03_LACK,C011-B02,2,2,C011,PURE_EK,OAK_PURE,CUSTOMER_ORDER,3,Lack,LACK,LACK,217,435,231,4896,4948,2026-05-28 15:36:00,2026-05-28 16:28:00,52,34,18,0.94,3,2026-05-29 14:00:00,customer,split_by_max_batch_size
C012-B01_03_LACK,C012-B01,1,2,C012,PURE_EK,OAK_PURE,CUSTOMER_ORDER,3,Lack,LACK,LACK,319,638,340,5000,5068,2026-05-28 17:20:00,2026-05-28 18:28:00,68,50,18,0.94,6,2026-05-29 22:00:00,customer,split_by_max_batch_size
C012-B02_03_LACK,C012-B02,2,2,C012,PURE_EK,OAK_PURE,CUSTOMER_ORDER,3,Lack,LACK,LACK,319,638,340,5104,5172,2026-05-28 19:04:00,2026-05-28 20:12:00,68,50,18,0.94,6,2026-05-29 22:00:00,customer,split_by_max_batch_size
STOCK_TRES_STOCK-B02_03_LACK,STOCK_TRES_STOCK-B02,2,3,STOCK_TRES_STOCK,TRES_STOCK,TRES,STOCK_ORDER,3,Lack,LACK,LACK,437,1310,456,5760,5832,2026-05-29 06:00:00,2026-05-29 07:12:00,72,57,15,0.96,2,2026-05-29 22:00:00,inventory_policy,split_by_max_batch_size
STOCK_TRES_STOCK-B03_03_LACK,STOCK_TRES_STOCK-B03,3,3,STOCK_TRES_STOCK,TRES_STOCK,TRES,STOCK_ORDER,3,Lack,LACK,LACK,436,1310,455,5871,5943,2026-05-29 07:51:00,2026-05-29 09:03:00,72,57,15,0.96,2,2026-05-29 22:00:00,inventory_policy,split_by_max_batch_size
STOCK_TRES_STOCK-B01_05_PACK,STOCK_TRES_STOCK-B01,1,3,STOCK_TRES_STOCK,TRES_STOCK,TRES,STOCK_ORDER,5,Pack,PACK,PACK,437,1310,456,289,327,2026-05-25 10:49:00,2026-05-25 11:27:00,38,31,7,0.96,2,2026-05-29 22:00:00,inventory_policy,split_by_max_batch_size
C002-B01_05_PACK,C002-B01,1,3,C002,SPORT_OAK,SPORT_OAK,CUSTOMER_ORDER,5,Pack,PACK,PACK,267,799,297,438,479,2026-05-25 13:18:00,2026-05-25 13:59:00,41,31,10,0.9,6,2026-05-26 14:00:00,customer,split_by_max_batch_size
C002-B02_05_PACK,C002-B02,2,3,C002,SPORT_OAK,SPORT_OAK,CUSTOMER_ORDER,5,Pack,PACK,PACK,266,799,296,559,600,2026-05-25 15:19:00,2026-05-25 16:00:00,41,31,10,0.9,6,2026-05-26 14:00:00,customer,split_by_max_batch_size
C002-B03_05_PACK,C002-B03,3,3,C002,SPORT_OAK,SPORT_OAK,CUSTOMER_ORDER,5,Pack,PACK,PACK,266,799,296,680,721,2026-05-25 17:20:00,2026-05-25 18:01:00,41,31,10,0.9,6,2026-05-26 14:00:00,customer,split_by_max_batch_size
C010-B01_05_PACK,C010-B01,1,3,C010,SPORT_OAK,SPORT_OAK,CUSTOMER_ORDER,5,Pack,PACK,PACK,247,739,275,788,827,2026-05-25 19:08:00,2026-05-25 19:47:00,39,29,10,0.9,6,2026-05-26 14:00:00,customer,split_by_max_batch_size
C010-B02_05_PACK,C010-B02,2,3,C010,SPORT_OAK,SPORT_OAK,CUSTOMER_ORDER,5,Pack,PACK,PACK,246,739,274,903,942,2026-05-25 21:03:00,2026-05-25 21:42:00,39,29,10,0.9,6,2026-05-26 14:00:00,customer,split_by_max_batch_size
C010-B03_05_PACK,C010-B03,3,3,C010,SPORT_OAK,SPORT_OAK,CUSTOMER_ORDER,5,Pack,PACK,PACK,246,739,274,1571,1610,2026-05-26 08:11:00,2026-05-26 08:50:00,39,29,10,0.9,6,2026-05-26 14:00:00,customer,split_by_max_batch_size
C007-B01_05_PACK,C007-B01,1,2,C007,SHADE_EK,OAK_SHADE,PRIORITY_CUSTOMER_ORDER,5,Pack,PACK,PACK,172,344,187,1638,1664,2026-05-26 09:18:00,2026-05-26 09:44:00,26,17,9,0.92,10,2026-05-26 16:00:00,customer,split_by_max_batch_size
C007-B02_05_PACK,C007-B02,2,2,C007,SHADE_EK,OAK_SHADE,PRIORITY_CUSTOMER_ORDER,5,Pack,PACK,PACK,172,344,187,1714,1740,2026-05-26 10:34:00,2026-05-26 11:00:00,26,17,9,0.92,10,2026-05-26 16:00:00,customer,split_by_max_batch_size
C003-B01_05_PACK,C003-B01,1,2,C003,SHADE_EK,OAK_SHADE,PRIORITY_CUSTOMER_ORDER,5,Pack,PACK,PACK,186,372,203,1797,1824,2026-05-26 11:57:00,2026-05-26 12:24:00,27,18,9,0.92,10,2026-05-29 08:00:00,customer,split_by_max_batch_size
C003-B02_05_PACK,C003-B02,2,2,C003,SHADE_EK,OAK_SHADE,PRIORITY_CUSTOMER_ORDER,5,Pack,PACK,PACK,186,372,203,1877,1904,2026-05-26 13:17:00,2026-05-26 13:44:00,27,18,9,0.92,10,2026-05-29 08:00:00,customer,split_by_max_batch_size
C013-B01_05_PACK,C013-B01,1,2,C013,SPORT_OAK,SPORT_OAK,CUSTOMER_ORDER,5,Pack,PACK,PACK,278,556,309,2054,2096,2026-05-26 16:14:00,2026-05-26 16:56:00,42,32,10,0.9,5,2026-05-26 14:00:00,customer,split_by_max_batch_size
C013-B02_05_PACK,C013-B02,2,2,C013,SPORT_OAK,SPORT_OAK,CUSTOMER_ORDER,5,Pack,PACK,PACK,278,556,309,2179,2221,2026-05-26 18:19:00,2026-05-26 19:01:00,42,32,10,0.9,5,2026-05-26 14:00:00,customer,split_by_max_batch_size
C001-B01_05_PACK,C001-B01,1,2,C001,SPORT_OAK,SPORT_OAK,CUSTOMER_ORDER,5,Pack,PACK,PACK,217,434,242,2262,2298,2026-05-26 19:42:00,2026-05-26 20:18:00,36,26,10,0.9,3,2026-05-26 14:00:00,customer,split_by_max_batch_size
C001-B02_05_PACK,C001-B02,2,2,C001,SPORT_OAK,SPORT_OAK,CUSTOMER_ORDER,5,Pack,PACK,PACK,217,434,242,2880,2916,2026-05-27 06:00:00,2026-05-27 06:36:00,36,26,10,0.9,3,2026-05-26 14:00:00,customer,split_by_max_batch_size
C014-B01_05_PACK,C014-B01,1,2,C014,PURE_EK,OAK_PURE,CUSTOMER_ORDER,5,Pack,PACK,PACK,338,675,360,3002,3039,2026-05-27 08:02:00,2026-05-27 08:39:00,37,29,8,0.94,5,2026-05-26 18:00:00,customer,split_by_max_batch_size
C014-B02_05_PACK,C014-B02,2,2,C014,PURE_EK,OAK_PURE,CUSTOMER_ORDER,5,Pack,PACK,PACK,337,675,359,3110,3147,2026-05-27 09:50:00,2026-05-27 10:27:00,37,29,8,0.94,5,2026-05-26 18:00:00,customer,split_by_max_batch_size
C004-B01_05_PACK,C004-B01,1,3,C004,PURE_EK,OAK_PURE,CUSTOMER_ORDER,5,Pack,PACK,PACK,309,925,329,3204,3239,2026-05-27 11:24:00,2026-05-27 11:59:00,35,27,8,0.94,6,2026-05-26 22:00:00,customer,split_by_max_batch_size
C004-B02_05_PACK,C004-B02,2,3,C004,PURE_EK,OAK_PURE,CUSTOMER_ORDER,5,Pack,PACK,PACK,308,925,328,3304,3339,2026-05-27 13:04:00,2026-05-27 13:39:00,35,27,8,0.94,6,2026-05-26 22:00:00,customer,split_by_max_batch_size
C004-B03_05_PACK,C004-B03,3,3,C004,PURE_EK,OAK_PURE,CUSTOMER_ORDER,5,Pack,PACK,PACK,308,925,328,3405,3440,2026-05-27 14:45:00,2026-05-27 15:20:00,35,27,8,0.94,6,2026-05-26 22:00:00,customer,split_by_max_batch_size
C009-B01_05_PACK,C009-B01,1,2,C009,SPORT_OAK,SPORT_OAK,CUSTOMER_ORDER,5,Pack,PACK,PACK,232,464,258,3526,3563,2026-05-27 16:46:00,2026-05-27 17:23:00,37,27,10,0.9,5,2026-05-26 22:00:00,customer,split_by_max_batch_size
C009-B02_05_PACK,C009-B02,2,2,C009,SPORT_OAK,SPORT_OAK,CUSTOMER_ORDER,5,Pack,PACK,PACK,232,464,258,3636,3673,2026-05-27 18:36:00,2026-05-27 19:13:00,37,27,10,0.9,5,2026-05-26 22:00:00,customer,split_by_max_batch_size
C006-B01_05_PACK,C006-B01,1,3,C006,PURE_EK,OAK_PURE,CUSTOMER_ORDER,5,Pack,PACK,PACK,288,864,307,3715,3748,2026-05-27 19:55:00,2026-05-27 20:28:00,33,25,8,0.94,4,2026-05-27 14:00:00,customer,split_by_max_batch_size
C006-B02_05_PACK,C006-B02,2,3,C006,PURE_EK,OAK_PURE,CUSTOMER_ORDER,5,Pack,PACK,PACK,288,864,307,4320,4353,2026-05-28 06:00:00,2026-05-28 06:33:00,33,25,8,0.94,4,2026-05-27 14:00:00,customer,split_by_max_batch_size
C006-B03_05_PACK,C006-B03,3,3,C006,PURE_EK,OAK_PURE,CUSTOMER_ORDER,5,Pack,PACK,PACK,288,864,307,4428,4461,2026-05-28 07:48:00,2026-05-28 08:21:00,33,25,8,0.94,4,2026-05-27 14:00:00,customer,split_by_max_batch_size
C005-B01_05_PACK,C005-B01,1,1,C005,PURE_EK,OAK_PURE,CUSTOMER_ORDER,5,Pack,PACK,PACK,327,327,348,4545,4581,2026-05-28 09:45:00,2026-05-28 10:21:00,36,28,8,0.94,6,2026-05-27 18:00:00,customer,split_by_max_batch_size
C008-B01_05_PACK,C008-B01,1,3,C008,SHADE_EK,OAK_SHADE,CUSTOMER_ORDER,5,Pack,PACK,PACK,275,824,299,4648,4684,2026-05-28 11:28:00,2026-05-28 12:04:00,36,27,9,0.92,6,2026-05-28 18:00:00,customer,split_by_max_batch_size
C008-B02_05_PACK,C008-B02,2,3,C008,SHADE_EK,OAK_SHADE,CUSTOMER_ORDER,5,Pack,PACK,PACK,275,824,299,4752,4788,2026-05-28 13:12:00,2026-05-28 13:48:00,36,27,9,0.92,6,2026-05-28 18:00:00,customer,split_by_max_batch_size
C008-B03_05_PACK,C008-B03,3,3,C008,SHADE_EK,OAK_SHADE,CUSTOMER_ORDER,5,Pack,PACK,PACK,274,824,298,4855,4891,2026-05-28 14:55:00,2026-05-28 15:31:00,36,27,9,0.92,6,2026-05-28 18:00:00,customer,split_by_max_batch_size
C011-B01_05_PACK,C011-B01,1,2,C011,PURE_EK,OAK_PURE,CUSTOMER_ORDER,5,Pack,PACK,PACK,218,435,232,4906,4933,2026-05-28 15:46:00,2026-05-28 16:13:00,27,19,8,0.94,3,2026-05-29 14:00:00,customer,split_by_max_batch_size
C011-B02_05_PACK,C011-B02,2,2,C011,PURE_EK,OAK_PURE,CUSTOMER_ORDER,5,Pack,PACK,PACK,217,435,231,4985,5012,2026-05-28 17:05:00,2026-05-28 17:32:00,27,19,8,0.94,3,2026-05-29 14:00:00,customer,split_by_max_batch_size
C012-B01_05_PACK,C012-B01,1,2,C012,PURE_EK,OAK_PURE,CUSTOMER_ORDER,5,Pack,PACK,PACK,319,638,340,5117,5153,2026-05-28 19:17:00,2026-05-28 19:53:00,36,28,8,0.94,6,2026-05-29 22:00:00,customer,split_by_max_batch_size
C012-B02_05_PACK,C012-B02,2,2,C012,PURE_EK,OAK_PURE,CUSTOMER_ORDER,5,Pack,PACK,PACK,319,638,340,5221,5257,2026-05-28 21:01:00,2026-05-28 21:37:00,36,28,8,0.94,6,2026-05-29 22:00:00,customer,split_by_max_batch_size
STOCK_TRES_STOCK-B02_05_PACK,STOCK_TRES_STOCK-B02,2,3,STOCK_TRES_STOCK,TRES_STOCK,TRES,STOCK_ORDER,5,Pack,PACK,PACK,437,1310,456,5884,5922,2026-05-29 08:04:00,2026-05-29 08:42:00,38,31,7,0.96,2,2026-05-29 22:00:00,inventory_policy,split_by_max_batch_size
STOCK_TRES_STOCK-B03_05_PACK,STOCK_TRES_STOCK-B03,3,3,STOCK_TRES_STOCK,TRES_STOCK,TRES,STOCK_ORDER,5,Pack,PACK,PACK,436,1310,455,5995,6033,2026-05-29 09:55:00,2026-05-29 10:33:00,38,31,7,0.96,2,2026-05-29 22:00:00,inventory_policy,split_by_max_batch_size
STOCK_TRES_STOCK-B01_01_PREP,STOCK_TRES_STOCK-B01,1,3,STOCK_TRES_STOCK,TRES_STOCK,TRES,STOCK_ORDER,1,Layer prep,PREP,PREP,437,1310,456,0,54,2026-05-25 06:00:00,2026-05-25 06:54:00,54,46,8,0.96,2,2026-05-29 22:00:00,inventory_policy,split_by_max_batch_size
STOCK_TRES_STOCK-B02_01_PREP,STOCK_TRES_STOCK-B02,2,3,STOCK_TRES_STOCK,TRES_STOCK,TRES,STOCK_ORDER,1,Layer prep,PREP,PREP,437,1310,456,54,108,2026-05-25 06:54:00,2026-05-25 07:48:00,54,46,8,0.96,2,2026-05-29 22:00:00,inventory_policy,split_by_max_batch_size
C002-B01_01_PREP,C002-B01,1,3,C002,SPORT_OAK,SPORT_OAK,CUSTOMER_ORDER,1,Layer prep,PREP,PREP,267,799,297,120,178,2026-05-25 08:00:00,2026-05-25 08:58:00,58,45,13,0.9,6,2026-05-26 14:00:00,customer,split_by_max_batch_size
C002-B02_01_PREP,C002-B02,2,3,C002,SPORT_OAK,SPORT_OAK,CUSTOMER_ORDER,1,Layer prep,PREP,PREP,266,799,296,178,236,2026-05-25 08:58:00,2026-05-25 09:56:00,58,45,13,0.9,6,2026-05-26 14:00:00,customer,split_by_max_batch_size
C002-B03_01_PREP,C002-B03,3,3,C002,SPORT_OAK,SPORT_OAK,CUSTOMER_ORDER,1,Layer prep,PREP,PREP,266,799,296,236,294,2026-05-25 09:56:00,2026-05-25 10:54:00,58,45,13,0.9,6,2026-05-26 14:00:00,customer,split_by_max_batch_size
C010-B01_01_PREP,C010-B01,1,3,C010,SPORT_OAK,SPORT_OAK,CUSTOMER_ORDER,1,Layer prep,PREP,PREP,247,739,275,294,349,2026-05-25 10:54:00,2026-05-25 11:49:00,55,42,13,0.9,6,2026-05-26 14:00:00,customer,split_by_max_batch_size
C010-B02_01_PREP,C010-B02,2,3,C010,SPORT_OAK,SPORT_OAK,CUSTOMER_ORDER,1,Layer prep,PREP,PREP,246,739,274,349,404,2026-05-25 11:49:00,2026-05-25 12:44:00,55,42,13,0.9,6,2026-05-26 14:00:00,customer,split_by_max_batch_size
C010-B03_01_PREP,C010-B03,3,3,C010,SPORT_OAK,SPORT_OAK,CUSTOMER_ORDER,1,Layer prep,PREP,PREP,246,739,274,404,459,2026-05-25 12:44:00,2026-05-25 13:39:00,55,42,13,0.9,6,2026-05-26 14:00:00,customer,split_by_max_batch_size
C013-B01_01_PREP,C013-B01,1,2,C013,SPORT_OAK,SPORT_OAK,CUSTOMER_ORDER,1,Layer prep,PREP,PREP,278,556,309,480,540,2026-05-25 14:00:00,2026-05-25 15:00:00,60,47,13,0.9,5,2026-05-26 14:00:00,customer,split_by_max_batch_size
C013-B02_01_PREP,C013-B02,2,2,C013,SPORT_OAK,SPORT_OAK,CUSTOMER_ORDER,1,Layer prep,PREP,PREP,278,556,309,540,600,2026-05-25 15:00:00,2026-05-25 16:00:00,60,47,13,0.9,5,2026-05-26 14:00:00,customer,split_by_max_batch_size
C001-B01_01_PREP,C001-B01,1,2,C001,SPORT_OAK,SPORT_OAK,CUSTOMER_ORDER,1,Layer prep,PREP,PREP,217,434,242,600,650,2026-05-25 16:00:00,2026-05-25 16:50:00,50,37,13,0.9,3,2026-05-26 14:00:00,customer,split_by_max_batch_size
C001-B02_01_PREP,C001-B02,2,2,C001,SPORT_OAK,SPORT_OAK,CUSTOMER_ORDER,1,Layer prep,PREP,PREP,217,434,242,650,700,2026-05-25 16:50:00,2026-05-25 17:40:00,50,37,13,0.9,3,2026-05-26 14:00:00,customer,split_by_max_batch_size
C014-B01_01_PREP,C014-B01,1,2,C014,PURE_EK,OAK_PURE,CUSTOMER_ORDER,1,Layer prep,PREP,PREP,338,675,360,700,752,2026-05-25 17:40:00,2026-05-25 18:32:00,52,42,10,0.94,5,2026-05-26 18:00:00,customer,split_by_max_batch_size
C014-B02_01_PREP,C014-B02,2,2,C014,PURE_EK,OAK_PURE,CUSTOMER_ORDER,1,Layer prep,PREP,PREP,337,675,359,752,804,2026-05-25 18:32:00,2026-05-25 19:24:00,52,42,10,0.94,5,2026-05-26 18:00:00,customer,split_by_max_batch_size
C009-B01_01_PREP,C009-B01,1,2,C009,SPORT_OAK,SPORT_OAK,CUSTOMER_ORDER,1,Layer prep,PREP,PREP,232,464,258,804,856,2026-05-25 19:24:00,2026-05-25 20:16:00,52,39,13,0.9,5,2026-05-26 22:00:00,customer,split_by_max_batch_size
C009-B02_01_PREP,C009-B02,2,2,C009,SPORT_OAK,SPORT_OAK,CUSTOMER_ORDER,1,Layer prep,PREP,PREP,232,464,258,856,908,2026-05-25 20:16:00,2026-05-25 21:08:00,52,39,13,0.9,5,2026-05-26 22:00:00,customer,split_by_max_batch_size
C006-B01_01_PREP,C006-B01,1,3,C006,PURE_EK,OAK_PURE,CUSTOMER_ORDER,1,Layer prep,PREP,PREP,288,864,307,908,954,2026-05-25 21:08:00,2026-05-25 21:54:00,46,36,10,0.94,4,2026-05-27 14:00:00,customer,split_by_max_batch_size
C007-B01_01_PREP,C007-B01,1,2,C007,SHADE_EK,OAK_SHADE,PRIORITY_CUSTOMER_ORDER,1,Layer prep,PREP,PREP,172,344,187,1440,1475,2026-05-26 06:00:00,2026-05-26 06:35:00,35,24,11,0.92,10,2026-05-26 16:00:00,customer,split_by_max_batch_size
C007-B02_01_PREP,C007-B02,2,2,C007,SHADE_EK,OAK_SHADE,PRIORITY_CUSTOMER_ORDER,1,Layer prep,PREP,PREP,172,344,187,1475,1510,2026-05-26 06:35:00,2026-05-26 07:10:00,35,24,11,0.92,10,2026-05-26 16:00:00,customer,split_by_max_batch_size
C003-B01_01_PREP,C003-B01,1,2,C003,SHADE_EK,OAK_SHADE,PRIORITY_CUSTOMER_ORDER,1,Layer prep,PREP,PREP,186,372,203,1510,1547,2026-05-26 07:10:00,2026-05-26 07:47:00,37,26,11,0.92,10,2026-05-29 08:00:00,customer,split_by_max_batch_size
C003-B02_01_PREP,C003-B02,2,2,C003,SHADE_EK,OAK_SHADE,PRIORITY_CUSTOMER_ORDER,1,Layer prep,PREP,PREP,186,372,203,1547,1584,2026-05-26 07:47:00,2026-05-26 08:24:00,37,26,11,0.92,10,2026-05-29 08:00:00,customer,split_by_max_batch_size
C004-B01_01_PREP,C004-B01,1,3,C004,PURE_EK,OAK_PURE,CUSTOMER_ORDER,1,Layer prep,PREP,PREP,309,925,329,1584,1633,2026-05-26 08:24:00,2026-05-26 09:13:00,49,39,10,0.94,6,2026-05-26 22:00:00,customer,split_by_max_batch_size
